Wavelength	Transit Depth
(meters)	(percent)
3.224247e-07	1.590003e+00
3.227467e-07	1.423596e+00
3.230690e-07	1.424266e+00
3.233916e-07	1.416469e+00
3.237145e-07	1.428000e+00
3.240377e-07	1.419585e+00
3.243613e-07	1.454008e+00
3.246852e-07	1.419610e+00
3.250094e-07	1.434887e+00
3.253339e-07	1.428190e+00
3.256588e-07	1.424857e+00
3.259840e-07	1.421341e+00
3.263095e-07	1.425117e+00
3.266353e-07	1.540274e+00
3.269615e-07	1.434013e+00
3.272879e-07	1.437537e+00
3.276147e-07	1.420619e+00
3.279419e-07	1.421386e+00
3.282693e-07	1.427065e+00
3.285971e-07	1.419721e+00
3.289253e-07	1.421293e+00
3.292537e-07	1.428474e+00
3.295825e-07	1.416258e+00
3.299116e-07	1.415797e+00
3.302410e-07	1.416428e+00
3.305708e-07	1.419533e+00
3.309008e-07	1.415983e+00
3.312313e-07	1.423877e+00
3.315620e-07	1.563083e+00
3.318931e-07	1.565974e+00
3.322245e-07	1.414852e+00
3.325562e-07	1.419469e+00
3.328883e-07	1.415398e+00
3.332207e-07	1.429792e+00
3.335534e-07	1.590003e+00
3.338865e-07	1.414681e+00
3.342199e-07	1.422801e+00
3.345536e-07	1.590003e+00
3.348877e-07	1.414239e+00
3.352221e-07	1.414142e+00
3.355568e-07	1.418743e+00
3.358919e-07	1.415825e+00
3.362273e-07	1.419449e+00
3.365630e-07	1.414837e+00
3.368991e-07	1.414055e+00
3.372355e-07	1.415677e+00
3.375722e-07	1.415085e+00
3.379093e-07	1.413866e+00
3.382467e-07	1.413481e+00
3.385845e-07	1.414361e+00
3.389226e-07	1.413424e+00
3.392610e-07	1.413313e+00
3.395998e-07	1.413183e+00
3.399389e-07	1.413356e+00
3.402783e-07	1.413015e+00
3.406181e-07	1.438597e+00
3.409582e-07	1.412898e+00
3.412987e-07	1.412818e+00
3.416395e-07	1.412810e+00
3.419806e-07	1.412713e+00
3.423221e-07	1.414003e+00
3.426639e-07	1.412742e+00
3.430061e-07	1.412487e+00
3.433486e-07	1.412694e+00
3.436914e-07	1.412340e+00
3.440346e-07	1.412307e+00
3.443781e-07	1.412209e+00
3.447220e-07	1.412133e+00
3.450662e-07	1.435550e+00
3.454108e-07	1.412057e+00
3.457557e-07	1.411969e+00
3.461010e-07	1.411933e+00
3.464466e-07	1.414896e+00
3.467925e-07	1.411716e+00
3.471388e-07	1.412524e+00
3.474854e-07	1.411583e+00
3.478324e-07	1.411515e+00
3.481797e-07	1.411457e+00
3.485274e-07	1.411378e+00
3.488754e-07	1.499723e+00
3.492238e-07	1.411262e+00
3.495725e-07	1.411249e+00
3.499215e-07	1.411112e+00
3.502709e-07	1.412307e+00
3.506207e-07	1.412417e+00
3.509708e-07	1.412111e+00
3.513213e-07	1.412033e+00
3.516721e-07	1.412387e+00
3.520232e-07	1.411824e+00
3.523747e-07	1.411759e+00
3.527266e-07	1.411637e+00
3.530788e-07	1.411566e+00
3.534314e-07	1.414786e+00
3.537843e-07	1.411570e+00
3.541376e-07	1.413195e+00
3.544912e-07	1.434035e+00
3.548451e-07	1.413787e+00
3.551995e-07	1.411132e+00
3.555542e-07	1.412772e+00
3.559092e-07	1.410898e+00
3.562646e-07	1.410851e+00
3.566203e-07	1.415146e+00
3.569764e-07	1.589774e+00
3.573329e-07	1.410580e+00
3.576897e-07	1.428776e+00
3.580468e-07	1.410389e+00
3.584044e-07	1.410947e+00
3.587622e-07	1.410364e+00
3.591205e-07	1.507528e+00
3.594791e-07	1.410580e+00
3.598380e-07	1.410255e+00
3.601973e-07	1.409932e+00
3.605570e-07	1.431990e+00
3.609170e-07	1.409944e+00
3.612774e-07	1.409775e+00
3.616382e-07	1.409617e+00
3.619993e-07	1.409573e+00
3.623608e-07	1.414068e+00
3.627226e-07	1.413864e+00
3.630848e-07	1.409969e+00
3.634473e-07	1.409247e+00
3.638103e-07	1.409163e+00
3.641735e-07	1.516906e+00
3.645372e-07	1.409165e+00
3.649012e-07	1.411587e+00
3.652655e-07	1.408889e+00
3.656303e-07	1.408827e+00
3.659954e-07	1.500540e+00
3.663608e-07	1.408700e+00
3.667267e-07	1.409573e+00
3.670928e-07	1.409147e+00
3.674594e-07	1.408444e+00
3.678263e-07	1.408355e+00
3.681936e-07	1.491603e+00
3.685613e-07	1.408255e+00
3.689293e-07	1.455788e+00
3.692977e-07	1.408066e+00
3.696664e-07	1.408010e+00
3.700356e-07	1.408923e+00
3.704051e-07	1.408104e+00
3.707749e-07	1.577652e+00
3.711452e-07	1.407704e+00
3.715158e-07	1.407634e+00
3.718867e-07	1.408972e+00
3.722581e-07	1.553991e+00
3.726298e-07	1.407422e+00
3.730019e-07	1.407593e+00
3.733743e-07	1.461021e+00
3.737472e-07	1.407212e+00
3.741204e-07	1.407143e+00
3.744939e-07	1.407438e+00
3.748679e-07	1.407027e+00
3.752422e-07	1.406934e+00
3.756169e-07	1.406890e+00
3.759920e-07	1.406796e+00
3.763674e-07	1.406783e+00
3.767432e-07	1.406666e+00
3.771194e-07	1.406621e+00
3.774960e-07	1.406523e+00
3.778729e-07	1.406456e+00
3.782502e-07	1.406980e+00
3.786279e-07	1.406325e+00
3.790060e-07	1.406252e+00
3.793845e-07	1.406207e+00
3.797633e-07	1.406120e+00
3.801425e-07	1.406073e+00
3.805221e-07	1.405989e+00
3.809020e-07	1.405933e+00
3.812824e-07	1.405874e+00
3.816631e-07	1.405794e+00
3.820442e-07	1.405726e+00
3.824257e-07	1.405655e+00
3.828076e-07	1.405591e+00
3.831898e-07	1.521435e+00
3.835724e-07	1.405466e+00
3.839555e-07	1.405407e+00
3.843389e-07	1.405340e+00
3.847226e-07	1.406019e+00
3.851068e-07	1.405210e+00
3.854913e-07	1.405154e+00
3.858763e-07	1.405097e+00
3.862616e-07	1.529907e+00
3.866473e-07	1.404967e+00
3.870333e-07	1.404912e+00
3.874198e-07	1.406351e+00
3.878067e-07	1.404792e+00
3.881939e-07	1.404740e+00
3.885815e-07	1.404684e+00
3.889695e-07	1.404629e+00
3.893579e-07	1.404572e+00
3.897467e-07	1.404520e+00
3.901359e-07	1.406278e+00
3.905255e-07	1.404422e+00
3.909154e-07	1.404371e+00
3.913058e-07	1.404348e+00
3.916965e-07	1.405318e+00
3.920876e-07	1.404241e+00
3.924791e-07	1.404203e+00
3.928711e-07	1.404166e+00
3.932633e-07	1.404135e+00
3.936560e-07	1.457640e+00
3.940491e-07	1.404128e+00
3.944426e-07	1.404082e+00
3.948365e-07	1.404200e+00
3.952307e-07	1.404062e+00
3.956254e-07	1.515322e+00
3.960204e-07	1.404070e+00
3.964159e-07	1.404092e+00
3.968117e-07	1.404134e+00
3.972079e-07	1.404187e+00
3.976045e-07	1.408677e+00
3.980016e-07	1.464057e+00
3.983990e-07	1.404475e+00
3.987968e-07	1.404631e+00
3.991950e-07	1.404833e+00
3.995936e-07	1.405083e+00
3.999926e-07	1.405411e+00
4.003920e-07	1.405809e+00
4.007919e-07	1.406348e+00
4.011921e-07	1.407013e+00
4.015927e-07	1.407797e+00
4.019937e-07	1.408867e+00
4.023951e-07	1.410256e+00
4.027969e-07	1.412123e+00
4.031991e-07	1.414692e+00
4.036017e-07	1.418803e+00
4.040047e-07	1.428322e+00
4.044081e-07	1.508975e+00
4.048119e-07	1.450894e+00
4.052162e-07	1.423709e+00
4.056208e-07	1.416564e+00
4.060258e-07	1.413274e+00
4.064312e-07	1.497560e+00
4.068371e-07	1.525327e+00
4.072433e-07	1.407889e+00
4.076500e-07	1.406802e+00
4.080570e-07	1.405927e+00
4.084645e-07	1.405210e+00
4.088723e-07	1.404606e+00
4.092806e-07	1.404146e+00
4.096893e-07	1.403674e+00
4.100984e-07	1.403291e+00
4.105079e-07	1.403003e+00
4.109178e-07	1.402696e+00
4.113281e-07	1.402467e+00
4.117388e-07	1.402193e+00
4.121500e-07	1.402014e+00
4.125615e-07	1.401803e+00
4.129735e-07	1.401655e+00
4.133859e-07	1.401450e+00
4.137986e-07	1.401301e+00
4.142118e-07	1.401158e+00
4.146254e-07	1.401039e+00
4.150395e-07	1.414558e+00
4.154539e-07	1.400777e+00
4.158687e-07	1.400661e+00
4.162840e-07	1.400538e+00
4.166997e-07	1.400486e+00
4.171158e-07	1.472537e+00
4.175323e-07	1.400228e+00
4.179492e-07	1.400124e+00
4.183665e-07	1.400029e+00
4.187843e-07	1.399947e+00
4.192024e-07	1.399848e+00
4.196210e-07	1.399904e+00
4.200400e-07	1.399669e+00
4.204595e-07	1.399583e+00
4.208793e-07	1.399509e+00
4.212996e-07	1.399412e+00
4.217203e-07	1.399366e+00
4.221414e-07	1.399277e+00
4.225629e-07	1.399217e+00
4.229848e-07	1.399225e+00
4.234072e-07	1.399029e+00
4.238300e-07	1.398960e+00
4.242532e-07	1.398878e+00
4.246768e-07	1.398795e+00
4.251009e-07	1.398830e+00
4.255254e-07	1.398689e+00
4.259503e-07	1.398554e+00
4.263756e-07	1.398485e+00
4.268013e-07	1.398403e+00
4.272275e-07	1.398332e+00
4.276541e-07	1.398259e+00
4.280812e-07	1.398192e+00
4.285086e-07	1.398119e+00
4.289365e-07	1.398075e+00
4.293648e-07	1.397991e+00
4.297935e-07	1.397905e+00
4.302227e-07	1.397882e+00
4.306523e-07	1.397784e+00
4.310823e-07	1.397704e+00
4.315128e-07	1.397635e+00
4.319436e-07	1.397557e+00
4.323750e-07	1.397489e+00
4.328067e-07	1.397422e+00
4.332389e-07	1.397376e+00
4.336715e-07	1.397359e+00
4.341045e-07	1.397218e+00
4.345380e-07	1.397174e+00
4.349719e-07	1.397104e+00
4.354062e-07	1.397019e+00
